task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
40	8a/beb7bd	10942	fastqc (4)	COMPLETED	0	2020-11-12 08:34:02.916	2m 41s	2m 38s	198.3%	323 MB	3.3 GB	2.4 GB	1.9 MB
44	e4/868dc6	12632	fastq_screen (4)	COMPLETED	0	2020-11-12 08:34:31.983	3m 31s	3m 29s	188.2%	3.3 GB	4.3 GB	43.8 GB	19.3 GB
45	9d/cc67a4	16997	fastqc (5)	COMPLETED	0	2020-11-12 08:35:22.581	2m 48s	2m 46s	198.2%	347.9 MB	3.5 GB	2.5 GB	1.9 MB
11	8a/9b5d50	13545	getFASTQ (6)	COMPLETED	0	2020-11-12 08:05:53.039	33m 47s	33m 43s	82.3%	320.7 MB	562.1 MB	2.1 MB	7.2 GB
3	dc/341844	14121	getFASTQ (2)	COMPLETED	0	2020-11-12 08:05:53.729	34m 34s	34m 31s	81.8%	321.3 MB	562.3 MB	2.1 MB	7.4 GB
42	b9/9e3420	27870	fastq_screen (2)	COMPLETED	0	2020-11-12 08:38:03.156	2m 41s	2m 40s	205.7%	3.2 GB	4.2 GB	38.2 GB	14.8 GB
15	66/c2ad9f	13505	getFASTQ (8)	COMPLETED	0	2020-11-12 08:05:52.974	35m 3s	35m	80.9%	324.3 MB	565 MB	2.1 MB	7.7 GB
48	54/68878c	1577	fastqc (6)	COMPLETED	0	2020-11-12 08:39:41.235	3m 21s	3m 20s	195.7%	408.6 MB	3.5 GB	2.9 GB	1.9 MB
49	60/689720	4817	fastqc (7)	COMPLETED	0	2020-11-12 08:40:28.688	3m 24s	3m 20s	196.5%	382.4 MB	3.4 GB	3 GB	1.9 MB
43	13/9fd35d	6568	fastq_screen (3)	COMPLETED	0	2020-11-12 08:40:44.319	3m 18s	3m 17s	192.2%	3.2 GB	4.2 GB	42.2 GB	18 GB
51	7a/025840	8625	fastqc (8)	COMPLETED	0	2020-11-12 08:40:57.112	3m 26s	3m 25s	194.0%	384.9 MB	3.5 GB	3 GB	1.9 MB
41	1a/91985a	21660	fastq_screen (1)	COMPLETED	0	2020-11-12 08:44:02.750	2m 37s	2m 36s	204.8%	3.3 GB	4.3 GB	37.9 GB	14.6 GB
46	02/e6ae3c	23896	fastq_screen (5)	COMPLETED	0	2020-11-12 08:44:23.141	3m 30s	3m 29s	192.4%	3.3 GB	4.3 GB	45.2 GB	20.4 GB
47	09/760136	3240	fastq_screen (6)	COMPLETED	0	2020-11-12 08:46:39.827	3m 57s	3m 55s	184.0%	3.3 GB	4.3 GB	48.5 GB	23 GB
50	fd/30e64d	9879	fastq_screen (7)	COMPLETED	0	2020-11-12 08:47:53.064	3m 58s	3m 56s	181.7%	3.2 GB	4.2 GB	49.1 GB	23.5 GB
52	78/16749b	23545	fastq_screen (8)	COMPLETED	0	2020-11-12 08:50:36.408	3m 50s	3m 49s	181.3%	3.3 GB	4.3 GB	49.7 GB	23.9 GB
36	af/3ba546	4109	makeGenomeIndex	COMPLETED	0	2020-11-12 08:54:26.647	36m 14s	35m 43s	891.0%	29.8 GB	32.3 GB	50.4 GB	73.5 GB
56	86/4db04c	14016	mapFASTQ (4)	COMPLETED	0	2020-11-12 09:30:40.413	3m 17s	3m 15s	763.9%	30.3 GB	31.4 GB	44.7 GB	11.1 GB
53	07/a1b36b	20500	mapFASTQ (1)	COMPLETED	0	2020-11-12 09:33:57.009	5m 17s	5m 15s	348.7%	30.3 GB	31.4 GB	39.9 GB	8.1 GB
58	cb/a3726b	30841	mapFASTQ (6)	COMPLETED	0	2020-11-12 09:39:13.947	7m 34s	7m 32s	421.4%	30.3 GB	31.4 GB	50.8 GB	16.4 GB
55	48/e400fb	12274	mapFASTQ (3)	COMPLETED	0	2020-11-12 09:46:47.660	5m 39s	5m 38s	423.3%	30.3 GB	31.4 GB	43.8 GB	10.8 GB
57	50/9a7cbd	23120	mapFASTQ (5)	COMPLETED	0	2020-11-12 09:52:26.923	6m 35s	6m 34s	463.4%	30.3 GB	31.4 GB	47.7 GB	14.2 GB
60	68/cc9c60	2792	mapFASTQ (8)	COMPLETED	0	2020-11-12 09:59:02.290	7m 9s	7m 7s	534.9%	30.3 GB	31.4 GB	49.4 GB	14 GB
59	8d/6b5f97	15964	mapFASTQ (7)	COMPLETED	0	2020-11-12 10:06:11.237	7m 43s	7m 41s	446.7%	30.3 GB	31.4 GB	51.6 GB	17.2 GB
54	8d/2b1d76	29899	mapFASTQ (2)	COMPLETED	0	2020-11-12 10:13:54.240	5m 11s	5m 9s	361.1%	30.3 GB	31.4 GB	40.3 GB	8.4 GB
68	35/8933ef	7871	indexBAM (8)	COMPLETED	0	2020-11-12 10:19:05.323	35.5s	32.3s	99.5%	15.7 MB	51.4 MB	1.6 GB	2.1 MB
61	fe/6a7ceb	7790	indexBAM (1)	COMPLETED	0	2020-11-12 10:19:05.273	46.2s	43.6s	100.0%	19.5 MB	55.4 MB	2.1 GB	2.9 MB
62	16/7bfa04	7791	indexBAM (2)	COMPLETED	0	2020-11-12 10:19:05.281	1m 56s	1m 54s	44.6%	15.9 MB	51.8 MB	1.6 GB	2.2 MB
64	37/d5650f	7808	indexBAM (4)	COMPLETED	0	2020-11-12 10:19:05.296	2m 24s	2m 22s	45.7%	16.2 MB	52 MB	2.1 GB	2.5 MB
66	aa/ac7c5a	7831	indexBAM (6)	COMPLETED	0	2020-11-12 10:19:05.309	2m 46s	2m 44s	48.8%	23.8 MB	61.7 MB	2.6 GB	2.8 MB
65	a9/f8cf44	7819	indexBAM (5)	COMPLETED	0	2020-11-12 10:19:05.302	2m 49s	2m 47s	49.0%	17.1 MB	53 MB	2.7 GB	2.5 MB
63	af/f1d814	7799	indexBAM (3)	COMPLETED	0	2020-11-12 10:19:05.289	3m 1s	2m 59s	50.5%	16.5 MB	52.3 MB	3.1 GB	2.4 MB
67	e0/8f8875	7849	indexBAM (7)	COMPLETED	0	2020-11-12 10:19:05.315	3m 5s	3m 2s	51.3%	21.5 MB	58.2 MB	3.3 GB	3.3 MB
69	c2/6f3907	23944	countExon	COMPLETED	0	2020-11-12 10:22:09.939	48.7s	46.8s	1003.4%	572.3 MB	2.3 GB	20.1 GB	78.3 MB
70	3e/e29b88	25339	countFeature	COMPLETED	0	2020-11-12 10:22:58.662	34.2s	32.7s	1298.0%	498.1 MB	1.9 GB	20.1 GB	3.7 MB
72	e9/48e34b	26587	multi_qc	COMPLETED	0	2020-11-12 10:23:32.898	17.8s	16s	38.5%	57.8 MB	69.3 MB	28.9 MB	4.5 MB
73	6a/be3472	26591	statAnalysis (1)	COMPLETED	0	2020-11-12 10:23:32.904	1m 4s	1m 2s	122.0%	821.9 MB	3.1 GB	37.6 MB	74.4 KB
71	a0/a18b6b	26578	statAnalysisSplicing (1)	COMPLETED	0	2020-11-12 10:23:32.879	35m 37s	35m 35s	791.4%	60 GB	69.6 GB	3.2 GB	1.9 GB
