Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRR628582	30957908	4943475	0	0	0	0	0	0	0	5006374	0	0	2139808	0	18868251	15.968375511678632
SRR628583	48380012	6699661	0	0	0	0	0	0	0	20648970	0	0	4404528	0	16626853	13.847993671436045
SRR628584	22502752	5264733	0	0	0	0	0	0	0	3037598	0	0	1207466	0	12992955	23.395951748479472
SRR628585	40018798	5444288	0	0	0	0	0	0	0	16884332	0	0	2615010	0	15075168	13.604326646692385
SRR628586	23420100	5125926	0	0	0	0	0	0	0	4061642	0	0	1325037	0	12907495	21.886866409622506
SRR628587	46513508	5837281	0	0	0	0	0	0	0	18664268	0	0	1154628	0	20857331	12.549646868174294
SRR628588	30403566	6697003	0	0	0	0	0	0	0	7283850	0	0	1689666	0	14733047	22.02703130284125
SRR628589	39601606	7769859	0	0	0	0	0	0	0	7557156	0	0	1496109	0	22778482	19.620060358158202
